SINCAM000417	ENSMGAP00000000006
SINCAM004028	ENSMGAP00000000009
SINCAM007890	ENSMGAP00000000015
SINCAM014556	ENSMGAP00000000018
SINCAM006945	ENSMGAP00000000022
SINCAM006943	ENSMGAP00000000023
SINCAM014347	ENSMGAP00000000026
SINCAM921224	ENSMGAP00000000029
SINCAM014348	ENSMGAP00000000032
SINCAM001043	ENSMGAP00000000034
SINCAM014349	ENSMGAP00000000036
SINCAM004974	ENSMGAP00000000037
SINCAM013515	ENSMGAP00000000045
SINCAM013539	ENSMGAP00000000057
SINCAM004617	ENSMGAP00000000058
SINCAM014229	ENSMGAP00000000059
SINCAM013567	ENSMGAP00000000061
SINCAM012326	ENSMGAP00000000062
SINCAM009021	ENSMGAP00000000063
SINCAM009019	ENSMGAP00000000065
SINCAM922714	ENSMGAP00000000066
SINCAM900151	ENSMGAP00000000067
SINCAM014321	ENSMGAP00000000068
SINCAM922441	ENSMGAP00000000071
SINCAM013517	ENSMGAP00000000072
SINCAM012195	ENSMGAP00000000079
SINCAM921770	ENSMGAP00000000080
SINCAM013989	ENSMGAP00000000081
SINCAM013518	ENSMGAP00000000082
SINCAM922347	ENSMGAP00000000083
SINCAM013590	ENSMGAP00000000084
SINCAM008995	ENSMGAP00000000087
SINCAM922724	ENSMGAP00000000089
SINCAM922442	ENSMGAP00000000090
SINCAM921837	ENSMGAP00000000093
SINCAM922725	ENSMGAP00000000094
SINCAM013592	ENSMGAP00000000097
SINCAM015923	ENSMGAP00000000099
SINCAM922145	ENSMGAP00000000101
SINCAM000589	ENSMGAP00000000102
SINCAM922705	ENSMGAP00000000103
SINCAM016899	ENSMGAP00000000106
SINCAM015730	ENSMGAP00000000108
SINCAM013593	ENSMGAP00000000109
SINCAM017013	ENSMGAP00000000110
SINCAM922985	ENSMGAP00000000112
SINCAM007774	ENSMGAP00000000113
SINCAM007775	ENSMGAP00000000114
SINCAM013857	ENSMGAP00000000116
SINCAM009436	ENSMGAP00000000118
SINCAM013856	ENSMGAP00000000120
